Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Delay_from_due_date,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Payment_of_Min_Amount,Total_EMI_per_month,Credit_Score
43391.96,3688.9966666666655,1.0,5.0,10.0,9.0,10.72,0.0,1.0,1468.28,1.0,0.0,0
14351.21,1303.8445000000002,8.0,7.0,18.0,18.0,21.91,9.0,0.0,4766.87,2.0,61.09871813783708,1
130125.04,10871.753333333332,5.0,2.0,11.0,3.0,3.82,645.0,1.0,1195.05,1.0,204.2856497535492,0
20107.21,1631.6008333333332,6.0,6.0,32.0,15.0,10.4,11.0,2.0,2544.6,2.0,27.10639489500224,1
92186.19,7487.1825,1.0,2.0,12.0,1.0,9.74,4.0,1.0,809.01,1.0,185.7976538199101,0
44998.71,3916.8925,10.0,5.0,31.0,57.0,16.65,8.0,2.0,2559.56,0.0,56.83945041255036,1
56500.7,4611.093666666667,2.0,3.0,4.0,8.0,7.86,3.0,1.0,991.98,1.0,79.01141911646876,0
135178.44,11542.87,0.0,6.0,6.0,22.0,11.27,3.0,3.0,1024.39,0.0,0.0,1
75455.34,6116.945,3.0,6.0,11.0,24.0,9.77,8.0,3.0,68.09,2.0,60.42174273137702,0
9155.455,470.9545833333333,6.0,7.0,1208.0,36.0,27.14,11.0,0.0,3914.45,2.0,24.30024576892973,2
16096.54,1253.378333333333,3.0,4.0,13.0,9.0,11.84,0.0,3.0,927.98,2.0,12.567580598415056,2
57700.16,4705.342999999999,8.0,11.0,22.0,62.0,16.2,6.0,0.0,1728.05,2.0,221.7632779608531,1
19592.58,1405.715,5.0,7.0,21.0,11.0,8.82,7.0,2.0,2391.39,2.0,40.49688242158693,2
63756.33,5093.0275,8.0,3.0,1.0,17.0,9.94,0.0,1.0,950.59,0.0,50.392823311130286,1
8833.225,956.1020833333332,10.0,7.0,23.0,49.0,2.63,10.0,3.0,2987.52,2.0,34.61951805707215,1
11040265.0,3219.4421666666667,3.0,7.0,2.0,17.0,5.99,0.0,1.0,553.12,1.0,27.08617216384484,2
97791.42,7449.469346853578,6.0,6.0,12.0,16.0,17.92,1.0,2.0,107.41,2.0,629.8156531464217,0
34128.92,2740.0766666666664,6.0,8.0,31.0,22.0,3.99,13.0,0.0,2626.28,2.0,118.06685464217024,1
68474.64,5431.22,7.0,6.0,11.0,16.0,8.02,1573.0,2.0,66.03,2.0,127.44715871403108,2
41695.76,3401.646666666667,6.0,7.0,15.0,23.0,25.99,8.0,0.0,4453.51,0.0,302.8057257057672,2
29777.3,2530.4416666666666,10.0,10.0,31.0,18.0,7.77,11.0,0.0,1874.2,2.0,105.82413239502584,2
19758.84,1901.57,7.0,5.0,32.0,51.0,2.76,14.0,0.0,1352.88,2.0,71.6947398487303,1
29470.76,2339.7126666666663,0.0,4.0,9.0,9.0,1.21,4.0,3.0,557.5,1.0,79.50204790507881,0
78569.9,6667.491666666666,3.0,5.0,2.0,10.0,8.76,6.0,1.0,1316.34,1.0,0.0,2
9276.99,741.0825,10.0,5.0,25.0,28.0,24.2,7.0,0.0,3297.71,2.0,28.18064196303841,1
133068.44,11063.036666666669,4.0,3.0,6.0,15.0,11.77,2.0,3.0,940.98,1.0,251.61640301399424,0
20817.395,1773.7829166666668,5.0,5.0,4.0,5.0,7.17,5.0,3.0,1034.51,0.0,51.26156690031435,0
15333.36,999.78,10.0,6.0,28.0,18.0,19.99,13.0,0.0,2310.1,0.0,38.407242495970905,2
64933.76,5368.1466666666665,3.0,3.0,33.0,20.0,19.04,6.0,2.0,2699.17,2.0,193.69258208877807,1
8969.985,617.4987500000002,9.0,6.0,22.0,52.0,16.73,6.0,0.0,4325.59,2.0,39.621966905487135,1
21639.39,1633.2825,3.0,4.0,7.0,21.0,9.71,7.0,2.0,1066.41,2.0,12.13186646694648,1
14909.4,1177.45,6.0,7.0,24.0,19.0,16.49,8.0,2.0,1992.2,2.0,13.069308505074778,1
107626.59,9095.8825,3.0,5.0,11.0,32.0,11.1,8.0,3.0,914.63,2.0,70732.0,2
49128.9,4231.074999999999,8.0,3.0,29.0,11.0,13.88,7.0,2.0,2574.1,2.0,169.5292210820439,1
20833.19,1664.0991666666664,6.0,6.0,34.0,36.0,16.02,9.0,0.0,4987.19,2.0,77.59130261824843,2
30813.68,2289.806666666667,3.0,3.0,8.0,12.0,6.93,2.0,2.0,1312.2,1.0,56.05555563164189,0
7367.11,616.9258333333332,10.0,6.0,29.0,18.0,32.92,9.0,3.0,3898.81,2.0,28.27088597458801,2
30979.28,2367.6066666666666,5.0,3.0,22.0,18.0,9.75,5.0,2.0,1317.34,2.0,177.3730333213945,1
14871.095,1167.8709166666667,3.0,3.0,7.0,14.0,8.62,4.0,1.0,725.09,1.0,23.61909190569991,0
18070.01,1469.8341666666663,9.0,7.0,34.0,41.0,2.890000000000001,8.0,0.0,2493.97,2.0,43.48068420047778,1
17653.7,1418.1416666666669,9.0,8.0,20.0,17.0,5.05,12.0,0.0,1846.17,2.0,54.20127791564646,1
10156.33,905.0991666666665,6.0,8.0,20.0,25.0,28.76,12.0,3.0,4345.51,2.0,59.29049520610571,2
72412.74,6294.395,5.0,6.0,6.0,11.0,6.76,4.0,2.0,794.93,0.0,59820.0,2
32009.81,2555.4841666666666,530.0,7.0,9.0,6.0,7.92,7.0,2.0,310.76,2.0,18.34075512276188,2
19453.05,1917.0875,3.0,6.0,10.0,19.0,19.86,11.0,2.0,731.24,2.0,77.11008866084916,2
30883.32,2311.61,6.0,5.0,8.0,15.0,9.24,6.0,2.0,1891.76,2.0,50.14969838870782,2
14780.71,1224.7258333333332,9.0,8.0,16.0,27.0,2.76,10.0,0.0,1811.96,0.0,67.78733814996905,1
38239.44,3485.620000000001,0.0,3.0,2.0,5.0,1.9499999999999995,0.0,1.0,1156.81,1.0,20.20344767930195,0
65454.42,5205.535,4.0,4.0,17.0,26.0,11.82,2.0,3.0,768.36,2.0,28.010449461130207,1
20945.38,1619.4483333333335,3.0,5.0,11.0,21.0,18.25,8.0,3.0,1396.35,2.0,50.42425161873664,1
44280.31,3873.025833333333,4.0,3.0,8.0,15.0,7.23,1.0,1.0,1046.3,1.0,72.68864732520152,2
19703.09,1563.924166666667,9.0,9.0,22.0,32.0,21.51,7.0,0.0,2677.04,2.0,89.23930823277355,2
118297.6,10026.133333333331,2.0,1.0,9.0,8.0,10.97,7.0,1.0,1446.83,1.0,264.0927462032494,0
22978.67,1954.8891666666664,3.0,7.0,9.0,24.0,11.87,2.0,2.0,904.76,1.0,0.0,0
64871.14,5333.928333333333,5.0,5.0,5.0,14.0,15.169999999999998,0.0,1.0,34.3,1.0,73.2263534532986,0
13982.725,931.2270833333334,7.0,6.0,12.0,12.0,3.45,4.0,2.0,1458.61,2.0,37.983362942412526,2
20436.315,1785.02625,421.0,3.0,7.0,14.0,4.86,6.0,1.0,783.77,1.0,20.366031738448275,2
33960.07,3080.005833333333,1.0,5.0,11.0,5.0,5.146000000000001,2.0,1.0,482.5,1.0,23.172582496377373,0
80094.96,4690.526083333333,7.0,5.0,34.0,16.0,16.756,6.0,0.0,2286.06,2.0,923.6095300451946,2
30346.35,2568.3465,5.0,4.0,14.0,29.0,18.8,5.0,2.0,523.56,2.0,96.72128021256924,2
14461.52,1010.1266666666668,10.0,8.0,33.0,52.0,18.75,11.0,0.0,2566.1,2.0,41.82171882717799,2
43183.56,3851.63,6.0,6.0,13.0,15.0,14.2,8.0,2.0,263.56,2.0,106.86769926352645,2
59788.89,5053.4075,9.0,9.0,20.0,36.0,18.13,6.0,0.0,3547.66,0.0,188.57871324909755,1
29491.67,2178.6391666666664,5.0,3.0,3.0,13.0,2.63,5.0,1.0,862.64,1.0,14.67432172052166,0
11586.525,943.54375,5.0,6.0,18.0,24.0,14.0,1.0,2.0,498.68,2.0,15.46654664404272,2
92067.99,7455.3325,4.0,4.0,18.0,23.0,7.81,2551.0,2.0,1398.94,2.0,152.65163749298694,2
53770.11,4666.8425,8.0,8.0,17.0,42.0,18.75,17.0,2.0,2028.19,2.0,204.4701376732153,1
19010.58,1845.215,9.0,7.0,17.0,54.0,12.16,10.0,3.0,1519.25,2.0,36.428485272688704,2
68721.08,5560.756666666667,5.0,7.0,4.0,11.0,8.55,3.0,3.0,130.89,1.0,47.835726216524,0
19188.055,1358.0045833333334,5.0,4.0,2.0,1.0,4.5,7.0,3.0,464.09,1.0,44.602370142630434,0
18681.465,1584.78875,2.0,3.0,9.0,6.0,7.9,3.0,1.0,327.88,1.0,24.8214249786604,0
158871.12,12962.26,0.0,171.0,8.0,8.0,1.17,4.0,1.0,576.48,1.0,86.90586037406021,2
21115.99,1730.6658333333337,3.0,7.0,17.0,24.0,14.28,4.0,3.0,474.21,2.0,0.0,2
89722.4,7646.866666666666,1214.0,5.0,5.0,1.0,2.47,7.0,1.0,1071.85,1.0,101.94233807451845,2
19657.56,1349.13,4.0,3.0,15.0,29.0,8.74,5.0,3.0,1480.88,2.0,21.24011733002961,2
18115.21,1327.6008333333332,9.0,8.0,18.0,16.0,10.18,11.0,2.0,1440.76,2.0,62.846716397123,1
31501.87,2591.319833333333,5.0,3.0,16.0,23.0,15.25,3.0,2.0,333.02,0.0,37.42615839037271,0
18124.175,1683.3479166666666,6.0,5.0,11.0,9.0,5.869999999999999,4.0,1.0,335.05,1.0,31.989156464668945,0
12821.845,840.4870833333333,7.0,6.0,17.0,10.0,5.76,2.0,2.0,1475.23,1.0,10.21149374035067,2
14291.24,1267.8413333333333,6.0,10.0,32.0,23.0,2.66,6.0,0.0,2527.84,2.0,68.47067908164641,1
45499.89,3916.6575,8.0,8.0,33.0,30.0,22.41,9.0,0.0,4654.47,2.0,98.10070360175214,2
57847.1,4808.591666666666,1.0,4.0,5.0,4.0,6.19,3.0,1.0,958.73,1.0,44.51045109942464,2
27242.8,2434.233333333333,5.0,4.0,15.0,19.0,24.5,7.0,3.0,881.36,2.0,73.81546182149368,2
15301.71,1087.1425,5.0,7.0,20.0,21.0,7.210000000000001,9.0,2.0,1963.92,2.0,47.544028029259614,1
18458.05,1288.1708333333331,7.0,7.0,6.0,19.0,9.58,4.0,2.0,705.4,1.0,42.43928511971047,2
15666.495,1342.54125,4.0,7.0,8.0,28.0,13.45,4.0,3.0,284.89,0.0,75.5226388676993,2
15990.655,1244.5545833333333,7.0,1057.0,17.0,6.0,11.85,7.0,2.0,1214.53,2.0,53.91846893142056,2
57507.24000000001,4859.556312293305,6.0,6.0,9.0,16.0,13.24,5.0,3.0,1278.15,2.0,451.1472085289748,2
18949.07,1562.0891666666666,10.0,9.0,29.0,52.0,16.57,8.0,3.0,4454.76,2.0,55.67782990151591,1
15279.545,1565.2954166666666,0.0,5.0,8.0,1.0,6.99,4.0,1.0,168.35,1.0,29.035513675543942,0
78208.96,6595.413333333334,8.0,5.0,9.0,22.0,11.2,5.0,2.0,1419.42,1.0,184.3775922082677,2
73509.02,5881.751666666668,5.0,5.0,20.0,17.0,6.69,3.0,3.0,1082.86,0.0,0.0,2
